instance,method,seed_per_agent,feasible,objective_ratio,proposed_objective_ratio,max_violation,disclosed_constraints,rounds
181,adaptive_1,1,True,1.0,1.0,2.220446049250313e-16,21,6
181,static_2,2,False,,1.152913595865855,0.21558308642117385,10,1
181,adaptive_2,2,True,1.0000000000000002,1.0000000000000002,0.0,20,4
181,static_4,4,False,,1.1656598234927595,0.20908849769893556,20,1
181,adaptive_4,4,True,1.0,1.0,1.1102230246251565e-16,34,5
181,static_8,8,False,,1.0393124664450724,0.1334186956410197,40,1
181,adaptive_8,8,True,1.0000000000000002,1.0000000000000002,0.0,46,3
181,full_disclosure,18,True,1.0,1.0,7.438494264988549e-15,90,1
182,static_1,1,False,,1.4195417515823918,0.4650956224184606,5,1
182,adaptive_1,1,True,1.0,1.0,8.881784197001252e-16,21,5
182,static_2,2,False,,1.1456424314367775,0.2743961762445132,10,1
182,adaptive_2,2,True,1.0000000000000002,1.0000000000000002,3.3306690738754696e-16,21,5
182,static_4,4,False,,1.143878706766285,0.41325459515723884,20,1
182,adaptive_4,4,True,0.9999999999999999,0.9999999999999999,2.220446049250313e-16,28,3
182,static_8,8,False,,1.0019447623701183,0.024881594596059542,40,1
182,adaptive_8,8,True,1.0,1.0,0.0,41,2
182,full_disclosure,18,True,1.0,1.0,3.3306690738754696e-16,90,1
183,static_1,1,False,,1.5615462287738378,0.6109810626854003,5,1
183,adaptive_1,1,True,1.0000000000000009,1.0000000000000009,7.771561172376096e-16,20,6
183,static_2,2,False,,1.338611949982886,0.36003077480914425,10,1
183,adaptive_2,2,True,1.0000000000000004,1.0000000000000004,3.3306690738754696e-16,25,5
183,static_4,4,False,,1.2026780273415858,0.47824422121141724,20,1
183,adaptive_4,4,True,1.0,1.0,3.3306690738754696e-16,36,5
183,static_8,8,False,,1.1020648971821794,0.22729586340744612,40,1
183,adaptive_8,8,True,0.9999999999999998,0.9999999999999998,2.220446049250313e-16,45,3
183,full_disclosure,18,True,1.0,1.0,3.3306690738754696e-16,90,1
184,static_1,1,False,,1.3766099758042059,0.39860398744409065,5,1
184,adaptive_1,1,True,1.0000000000000002,1.0000000000000002,0.0,17,4
184,static_2,2,False,,1.6045665418705655,0.44389306394435346,10,1
184,adaptive_2,2,True,1.0,1.0,3.3306690738754696e-16,21,4
184,static_4,4,False,,1.3031539395851492,0.29741933674363263,20,1
184,adaptive_4,4,True,1.0000000000000002,1.0000000000000002,0.0,31,4
184,static_8,8,False,,1.1950730925465176,0.21487401273311768,40,1
184,adaptive_8,8,True,1.0,1.0,1.1102230246251565e-16,48,4
184,full_disclosure,18,True,1.0,1.0,0.0,90,1
185,static_1,1,False,,2.0594540595607804,0.839269021664212,5,1
185,adaptive_1,1,True,0.9999999999999998,0.9999999999999998,3.3306690738754696e-16,23,7
185,static_2,2,False,,1.22550835769801,0.3195338481793144,10,1
185,adaptive_2,2,True,1.0,1.0,1.1102230246251565e-16,19,3
185,static_4,4,False,,1.1340599325684575,0.09769229947526625,20,1
185,adaptive_4,4,True,0.9999999999999994,0.9999999999999994,0.0,29,4
185,static_8,8,False,,1.0296069407388408,0.10813858594309744,40,1
